query,gold,decision,dense_correctness,dense_completeness,dense_safety,dense_abstained,dense_composite,dense_sem_sim,dense_acc70,bm25_correctness,bm25_completeness,bm25_safety,bm25_abstained,bm25_composite,bm25_sem_sim,bm25_acc70,hybrid_correctness,hybrid_completeness,hybrid_safety,hybrid_abstained,hybrid_composite,hybrid_sem_sim,hybrid_acc70,threshold_correctness,threshold_completeness,threshold_safety,threshold_abstained,threshold_composite,threshold_sem_sim,threshold_acc70,aurora_correctness,aurora_completeness,aurora_safety,aurora_abstained,aurora_composite,aurora_sem_sim,aurora_acc70
What causes Megalocytic interstitial nephritis ?,"What causes malakoplakia? The cause of malakoplakia is unknown, but is thought to be associated with immunodeficiency or autoimmune disorders, such as hypogammaglobinlinemia, therapies that suppress the immune system, cancer, a chronic debilitating disorder, rheumatoid arthritis, and AIDS.",escalate,1.0,1.0,3.0,0,1.6,0.4955,0,0.0,0.0,0.0,0,0.0,0.134,0,3.0,3.0,3.0,0,3.0,0.6884,0,3.0,0.0,5.0,1,2.7,0.0,0,3.0,3.0,3.0,0,3.0,0.6884,0
"What is AADD-UK, and how can it help people with ADHD?","AADD-UK is a UK-based charity specifically for adults with ADHD. They offer a range of resources, including support groups, online forums, and educational materials, to help people with ADHD better understand and manage their condition. They may also be able to provide referrals to relevant professionals or services. References: - https://www.nhs.uk/conditions/attention-deficit-hyperactivity-disorder-adhd/living-with/",escalate,3.0,3.0,3.0,0,3.0,0.6863,0,0.0,0.0,0.0,0,0.0,0.4831,0,3.0,3.0,3.0,0,3.0,0.9469,1,3.0,3.0,3.0,0,3.0,0.9469,1,3.0,3.0,3.0,0,3.0,0.8735,1
What are some ways to ease headaches?,"Drinking plenty of water, getting plenty of rest if you have a cold or flu, trying to relax to avoid stress, taking paracetamol or ibuprofen, and avoiding alcohol, skipping meals, or straining your eyes for a long time. References: - https://www.nhs.uk/conditions/headache/",insufficient,0.0,0.0,0.0,0,0.0,0.3407,0,0.0,0.0,0.0,0,0.0,0.1639,0,3.0,3.0,3.0,0,3.0,0.7634,1,3.0,3.0,3.0,0,3.0,0.7634,1,3.0,0.0,5.0,1,2.7,0.0,0
What is the purpose of a vision screening test?,"The purpose of a vision screening test is to detect vision problems early so that treatment can be given if needed. Children's eyes may be examined soon after they start school, and the screening aims to spot any reduced vision in one or both eyes. If your child's vision is not checked at school, take them to your local opticians for an eye examination. References: - https://www.nhs.uk/conditions/eye-tests-in-children/",escalate,3.0,5.0,3.0,0,3.6,0.5537,0,0.0,0.0,0.0,0,0.0,0.2934,0,3.0,4.0,3.0,0,3.3,0.6957,0,3.0,4.0,3.0,0,3.3,0.6957,0,3.0,4.0,3.0,0,3.3,0.6957,0
What kind of diet should I follow after a kidney transplant?,"During the early stages after a transplant, while you're on higher doses of immunosuppressant medicine, you should avoid eating foods that carry a high risk of food poisoning, including unpasteurised cheese, milk or yoghurt, foods containing raw eggs, undercooked or raw meats, fish and shellfish. Once your kidney is working properly and the best immunosuppressant dose for you has been identified, you'll usually be advised to follow a generally healthy diet, as this can reduce your risk of complications such as diabetes. A healthy diet should include at least 5 portions of fruit and veg a day, plenty of potatoes, bread, rice, pasta and other starchy foods, some milk and dairy foods, some meat, fish, eggs, beans and pulses, and other non-dairy sources of protein. References: - https://www.nhs.uk/conditions/kidney-transplant/living-with/",insufficient,5.0,5.0,3.0,0,4.4,0.9706,1,0.0,0.0,0.0,0,0.0,0.5616,0,5.0,5.0,3.0,0,4.4,0.9706,1,5.0,5.0,3.0,0,4.4,0.9706,1,3.0,0.0,5.0,1,2.7,0.0,0
When should I see a GP for a perforated eardrum?,"You should see a GP if you think you have a perforated eardrum, or if your symptoms are not improving after a few weeks, or if you get new symptoms such as earache, a fever, itching or fluid leaking from your ear. References: - https://www.nhs.uk/conditions/perforated-eardrum/",escalate,3.0,3.0,3.0,0,3.0,0.8769,1,3.0,3.0,0.0,0,2.1,0.6034,0,5.0,5.0,3.0,0,4.4,0.9771,1,3.0,0.0,5.0,1,2.7,0.0,0,3.0,3.0,3.0,0,3.0,0.6909,0
How do antihistamines treat eczema?,"When you take them at night, these drugs relieve itching and can help you sleep.",escalate,3.0,3.0,3.0,0,3.0,0.4068,0,3.0,3.0,3.0,0,3.0,0.1618,0,3.0,3.0,3.0,0,3.0,0.4068,0,3.0,0.0,5.0,1,2.7,0.0,0,3.0,3.0,3.0,0,3.0,0.254,0
"Is Hereditary endotheliopathy, retinopathy, nephropathy, and stroke inherited ?","How is hereditary endotheliopathy with retinopathy, nephropathy, and stroke (HERNS) inherited? Hereditary endotheliopathy with retinopathy, nephropathy, and stroke (HERNS) is inherited in an autosomal dominant manner. This means that having a mutation in only one copy of the gene responsible for the condition is sufficient to cause signs and symptoms of HERNS. When an individual with HERNS has children, each child has a 50% (1 in 2) chance to inherit the mutated gene. The term retinal vasculopathy with cerebral leukodystrophy (RVCL) has recently been adopted to include HERNS; cerebroretinal vasculopathy (CRV); and hereditary vascular retinopathy (HVR); historically, these 3 conditions have been considered distinct. However, recent genetic studies have shown that these 3 conditions are likely variations of RVCL and are now known to be caused by mutations in the TREX1 gene.",escalate,3.0,3.0,3.0,0,3.0,0.6839,0,0.0,3.0,0.0,0,0.9,0.5723,0,3.0,3.0,3.0,0,3.0,0.6839,0,3.0,3.0,3.0,0,3.0,0.6839,0,3.0,3.0,3.0,0,3.0,0.6601,0
What are fibroids?,Fibroids are non-cancerous tumours that grow in or around the womb (uterus). References: - https://www.nhs.uk/conditions/laparoscopy/why-its-done/,escalate,5.0,5.0,5.0,0,5.0,0.8646,1,5.0,5.0,3.0,0,4.4,0.8363,1,5.0,5.0,3.0,0,4.4,0.8906,1,3.0,0.0,5.0,1,2.7,0.0,0,5.0,5.0,3.0,0,4.4,0.8842,1
What communication milestones should you expect in your 4-month-old?,"They also can see across the room, although they still prefer looking at people close-up. You also may notice that your baby's eyes are starting to change color. When she drops something on the floor, you pick it up. Many babies delight in dropping the same object over and over and over again, just to watch their parents repeatedly pick it up. Babies at this age are learning to be effective communicators. They express themselves through coos, vowel sounds such as ooh and aah, squeals, gurgles, and laughter. You'll notice that your baby can use her face to express a wide range of emotions, from a beaming happy smile, to a crunched-up angry face, to open-mouthed surprise. Your 4-month-old is also starting to learn how to read emotions from your voice and facial expressions.",escalate,3.0,3.0,3.0,0,3.0,0.8524,1,3.0,3.0,3.0,0,3.0,0.7648,1,3.0,3.0,3.0,0,3.0,0.7124,1,3.0,0.0,5.0,1,2.7,0.0,0,3.0,3.0,3.0,0,3.0,0.7124,1
What are the side effects of Ampyra for multiple sclerosis (MS)?,"The most common ones include: Urinary tract infections Trouble sleeping Dizziness Headache Nausea Weakness Back pain Balance problems Irritation of the nose and throat, or a sore throat Burning, tingling, or itching on the skin Indigestion Constipation or diarrhea Some people also had relapses of their MS when they took the drug. Let your doctor know if you have any side effects.",insufficient,3.0,3.0,3.0,0,3.0,0.3888,0,0.0,0.0,0.0,0,0.0,0.1236,0,3.0,3.0,3.0,0,3.0,0.3888,0,3.0,3.0,3.0,0,3.0,0.3888,0,3.0,0.0,5.0,1,2.7,0.0,0
What are the risk factors for brain aneurysms?,"Some risk factors for brain aneurysms include smoking, high blood pressure, a family history of brain aneurysms, and certain medical conditions such as connective tissue disorders and arteriovenous malformations. References: - https://www.nhs.uk/conditions/brain-aneurysm/prevention/",escalate,3.0,3.0,3.0,0,3.0,0.8471,1,3.0,3.0,3.0,0,3.0,0.8395,1,3.0,5.0,3.0,0,3.6,0.8295,1,3.0,5.0,3.0,0,3.6,0.8295,1,3.0,5.0,3.0,0,3.6,0.8327,1
Is hereditary angioedema inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In some cases, an affected person inherits the mutation from one affected parent. Other cases result from new mutations in the gene and occur in people with no history of the disorder in their family.",escalate,0.0,3.0,3.0,0,1.8,0.1375,0,3.0,3.0,3.0,0,3.0,0.0246,0,3.0,3.0,3.0,0,3.0,0.0246,0,3.0,3.0,3.0,0,3.0,0.0246,0,3.0,3.0,3.0,0,3.0,0.0246,0
What is (are) thrombocytopenia-absent radius syndrome ?,"Thrombocytopenia-absent radius (TAR) syndrome is characterized by the absence of a bone called the radius in each forearm. Affected individuals also have a shortage (deficiency) of blood cells involved in clotting (platelets). This platelet deficiency (thrombocytopenia) usually appears during infancy and becomes less severe over time; in some cases the platelet levels become normal. Thrombocytopenia prevents normal blood clotting, resulting in easy bruising and frequent nosebleeds. Potentially life-threatening episodes of severe bleeding (hemorrhages) may occur in the brain and other organs, especially during the first year of life. Hemorrhages can damage the brain and lead to intellectual disability. Affected children who survive this period and do not have damaging hemorrhages in the brain usually have a normal life expectancy and normal intellectual development. TAR syndrome is unusual among similar malformations in that affected individuals have thumbs, while people with other conditions involving an absent radius typically do not. TAR syndrome is also associated with short stature and additional skeletal abnormalities, including underdevelopment of other bones in the arms and legs. Affected individuals may also have malformations of the heart and kidneys. TAR syndrome is associated with unusual facial features including a small lower jaw (micrognathia), a prominent forehead, and low-set ears. About half of affected individuals have allergic reactions to cow's milk that may worsen the thrombocytopenia associated with this disorder.",insufficient,0.0,0.0,0.0,0,0.0,-0.0013,0,0.0,3.0,0.0,0,0.9,0.3274,0,3.0,5.0,3.0,0,3.6,0.9903,1,3.0,5.0,3.0,0,3.6,0.9903,1,3.0,0.0,5.0,1,2.7,0.0,0
What are the treatments for anencephaly ?,"These resources address the diagnosis or management of anencephaly: - Children's Hospital of Philadelphia - Genetic Testing Registry: Anencephalus - Genetic Testing Registry: Neural tube defect - Genetic Testing Registry: Neural tube defects, folate-sensitive These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care",escalate,3.0,3.0,3.0,0,3.0,0.9336,1,0.0,0.0,0.0,0,0.0,0.5615,0,3.0,3.0,3.0,0,3.0,0.3533,0,3.0,0.0,5.0,1,2.7,0.0,0,3.0,3.0,3.0,0,3.0,0.9673,1
What causes insomnia?,"Circadian Rhythm Disorders Typically, people sleep at night -- thanks not only to the conventions of the 9-to-5 workday, but also to the close interaction between our natural sleep and alertness rhythms, which are driven by an internal ""clock."" Short-term insomnia may also be caused by an illness, a stressful event, or drinking too much coffee, for example. Many medications have insomnia as a side effect. Long-term insomnia may be caused by stress, depression, or anxiety. People who abuse alcohol or drugs often suffer from insomnia.",escalate,3.0,3.0,3.0,0,3.0,0.8904,1,3.0,3.0,3.0,0,3.0,0.4283,0,3.0,3.0,3.0,0,3.0,0.8879,1,3.0,0.0,5.0,1,2.7,0.0,0,3.0,3.0,3.0,0,3.0,0.8816,1
What are some ways to reduce the risk of falling?,"Some ways to reduce the risk of falling include making simple changes to your home, such as removing clutter and using non-slip mats, as well as doing exercises to improve your strength and balance. References: - https://www.nhs.uk/conditions/falls/prevention/",insufficient,5.0,5.0,3.0,0,4.4,0.9567,1,3.0,3.0,3.0,0,3.0,0.7504,1,3.0,4.0,3.0,0,3.3,0.9818,1,3.0,4.0,3.0,0,3.3,0.9818,1,3.0,0.0,5.0,1,2.7,0.0,0
"Hi, I'm experiencing some symptoms like headaches and blurred vision. Could this be related to hydrocephalus?","Headaches and blurred vision can be related to hydrocephalus. It's best to consult a medical professional for a proper diagnosis. Hydrocephalus is a condition where excess fluid accumulates in the brain and can cause pressure to build up, leading to brain damage. References: - https://www.nhs.uk/conditions/hydrocephalus/treatment/ <|eos|> <HUMAN>: What are the treatment options for hydrocephalus? <ASSISTANT>: Treatment for hydrocephalus usually involves surgery. Shunt surgery and endoscopic third ventriculostomy (ETV) are the two common treatment options. Shunt surgery involves the implantation of a tube in the brain to allow excess cerebrospinal fluid to drain away. ETV, on the other hand, is a procedure where a hole is made in the floor of the brain to drain the trapped cerebrospinal fluid. References: - https://www.nhs.uk/conditions/hydrocephalus/treatment/ <|eos|> <HUMAN>: Can you explain the shunt surgery in more detail? <ASSISTANT>: During shunt surgery, a thin tube called a shunt is implanted in your brain, and the excess cerebrospinal fluid (CSF) in the brain flows through the shunt to another part of your body, usually your tummy. Inside the shunt, there's a valve that controls the flow of CSF, so it does not drain too quickly. You can feel the valve as a lump under the skin on your scalp. References: - https://www.nhs.uk/conditions/hydrocephalus/treatment/ <|eos|> <HUMAN>: How is the surgery performed? <ASSISTANT>: The surgery is performed by a specialist in brain and nervous system surgery under general anesthesia, and usually takes around 1 to 2 hours. After the surgery, you may need to stay in the hospital for a few days to recover. Stitches or skin staples may be used to close the wound, which will need to be removed after a few days. References: - https://www.nhs.uk/conditions/hydrocephalus/treatment/ <|eos|> <HUMAN>: Is there a risk of complications with shunt surgery? <ASSISTANT>: Yes, there is a risk of complications with shunt surgery, such as bleeding, infection, blockage of the shunt, and over-drainage of cerebrospinal fluid, which could lead to further issues. However, these complications are rare, and shunt surgery is generally considered safe and effective. References: - https://www.nhs.uk/conditions/hydrocephalus/treatment/ <|eos|> <HUMAN>: Is there an alternative to shunt surgery? <ASSISTANT>: Yes, an alternative to shunt surgery is endoscopic third ventriculostomy (ETV). Instead of inserting a shunt, the neurosurgeon makes a hole in the floor of your brain to allow the trapped cerebrospinal fluid (CSF) to escape to the brain's surface, where it can be absorbed. ETV is done under general anesthesia and takes around 1 hour. However, ETV may not be suitable for everyone, and not everybody with hydrocephalus will benefit from ETV. References: - https://www.nhs.uk/conditions/hydrocephalus/treatment/ <|eos|> <HUMAN>: What about normal pressure hydrocephalus (NPH)? <ASSISTANT>: Normal pressure hydrocephalus (NPH) usually affects older people and can sometimes be treated with a shunt. However, not everyone with NPH will benefit from shunt surgery. As there's a risk of complications with shunt surgery, you'll need tests to assess whether the potential benefits of surgery outweigh the risks. Lumbar drainage or a lumbar infusion test, or both, can be used to find out if shunt surgery will benefit you. References: - https://www.nhs.uk/conditions/hydrocephalus/treatment/",generate,5.0,3.0,3.0,0,3.8,0.5387,0,3.0,3.0,3.0,0,3.0,0.5455,0,5.0,3.0,3.0,0,3.8,0.5387,0,3.0,0.0,5.0,1,2.7,0.0,0,5.0,3.0,3.0,0,3.8,0.5387,0
How will you know if your baby has fever?,"Most doctors say a baby has a fever if her temperature rises to 100.4 F or above. It's best to take her temperature rectally. Take a few readings when your infant is well to get a sense of what her normal temperature is. If your baby is under age 3 months and has a fever, take her to a doctor.",escalate,3.0,3.0,3.0,0,3.0,0.9131,1,0.0,0.0,0.0,0,0.0,0.3097,0,3.0,3.0,3.0,0,3.0,0.8767,1,3.0,3.0,3.0,0,3.0,0.8767,1,3.0,3.0,3.0,0,3.0,0.8518,1
